Unique_ID,X,Y,composite1,Riverdis_value_remap,Road_value_remap,Railway_value_remap,Space_value_remap,Riverquality_value_remap,SUM_public,SUM_educat,SUM_Changi,SUM_reside,SUM_social,All_Ages_2,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Working_ag,Age_Struct,Persons_pe,All_househ,Couple_wit,Couple_w_1,House_Pric,House_Sale,Employment,Unemployme,Public_Tra,Transport,Transpor_1,Transpor_2,Household,Househol_1
6934,537270,196612,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6935,537456,196612,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6936,537642,196612,0.31,1,0.02,0,0.61,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6937,534944,196666,0.54,0,0,1,0.25,0,26.87809944,0,0,1208.100105,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6938,535130,196666,0.69,0.15,0,0,0.07,0,452.29599,0,0,1435.434216,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6939,535316,196666,0.46,0.07,0,0,0.48,0,3154.945114,0,0,144.6170044,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6940,535502,196666,0.46,0,0,0,0.89,0,0,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6941,535688,196666,0.38,0,0.03,0,0.78,0,0,0,0,309.4070129,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6942,535874,196666,0.38,0,0.02,0,0.88,0,0,0,0,20.86949921,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6943,536060,196666,0.46,0,0.13,0,0,0,0,0,217.6459045,1675.493651,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6944,536246,196666,0.54,0,0,0.67,0.23,0,0,0,0,1249.17161,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6945,536433,196666,0.54,0,0.15,0,0.15,0,886.447593,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6946,536619,196666,0.46,0.28,0,0,0,0,4684.707958,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6947,536805,196666,0.46,0.91,0,0,0.31,0,4381.155922,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6948,536991,196666,0.31,1,0.01,0,0.71,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6949,537177,196666,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6950,537363,196666,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6951,537549,196666,0.31,1,0,0,0.8,0.27,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6952,535037,196719,0.62,0.14,0,0,0,0,344.4320068,0,0,1180.83315,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6953,535223,196719,0.62,0.3,0,0,0.47,0,4284.818947,0,0,56.40790176,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6954,535409,196719,0.46,0.01,0,0,0.96,0,0,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6955,535595,196719,0.46,0,0,0,1,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6956,535781,196719,0.38,0,0,0,1,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6957,535967,196719,0.46,0,0,0,0.5,0,0,0,0,358.5137043,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6958,536153,196719,0.46,0,0,0,0,0,14.82409954,0,0,2045.298803,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6959,536339,196719,0.62,0,0,0.6,0.25,0,2922.62767,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6960,536526,196719,0.46,0.13,0.04,0,0.07,0,679.4971914,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6961,536712,196719,0.46,0.93,0,0,0.25,0,2256.179932,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6962,536898,196719,0.31,0.52,0,0,0,0.18,7910.209961,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
